Composite_Element_REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00044245	0.0169765045429291	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0289358009923283	CUL5	11	107879431
cg00047469	0.00889516105958004	POLE3;C9orf43	9	116172568
cg00049986	0.123259100392294	NA	NA	0
cg00050312	0.0203368428150688	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0310036896807972	C10orf4	10	95462161
cg00053292	0.0327842552836781	TACO1	17	61678300
cg00053647	0.0100043900668645	C7orf28B	7	6866072
cg00054706	0.0133374140487045	C1D	2	68289972
cg00055233	0.373837317311763	RLN1	9	5339677
cg00056767	0.066443159368895	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.0691936159079179	GLRA1	5	151304357
cg00059424	0.0398318834464064	PES1	22	30988148
cg00059740	0.0107012096259437	C7orf49	7	134855689
cg00059930	0.960384944724535	RB1	13	48894382
cg00060762	0.0752542314873082	LEO1	15	52264133
cg00060882	0.208715741856195	EIF2S3	X	24072811
cg00061059	0.0770193172824138	TECR	19	14640983
cg00061629	0.310693574693679	ALX4	11	44325258
cg00062776	0.941421833516515	TULP2	19	49402424
cg00063144	0.955552580972667	KRT31	17	39554055
cg00065385	0.960336785337981	ACTL7A	9	111623395
cg00065408	0.00712151007355759	CACNB3	12	49212475
cg00066153	0.930558016891211	ACRV1	11	125550744
cg00066816	0.0919427415035779	IL12B	5	158758353
cg00067471	0.0522578754650737	ATP5D	19	1241377
cg00069261	0.0150678589946699	CDR2	16	22386531
cg00071250	0.791743902552459	FASLG	1	172628263
cg00071998	0.0236460594431654	MSH5	6	31708121
cg00072216	0.0204422922379915	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.242939014803655	STRA6	15	74495354
cg00076645	0.0154187034383249	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.0524380652284946	ASAP1	8	131414474
cg00078194	0.0176744547061491	MDK	11	46402949
cg00078867	0.904839838612527	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.019729367336229	ARFGAP3	22	43253521
cg00080012	0.011801045377193	EED	11	85955689
cg00081935	0.0406516323322712	TSPAN9	12	3186906
cg00081975	0.00937672204016684	ABCC3	17	48712370
cg00083720	0.0201936865348226	NA	NA	0
cg00083937	0.364226807825125	MAPK8IP2	22	51039805
cg00084687	0.0147554266452134	GATAD1	7	92076896
cg00089071	0.0126210227759096	PCGF2	17	36905809
cg00090147	0.452221235929581	GATA4	8	11562367
cg00091693	0.726343980959031	KRT20	17	39041602
cg00093177	0.941920619276696		17	37185495
cg00094319	0.9096831326097	PABPC3	13	25670530
cg00094851	0.0378807189067615	KIF3C	2	26205706
cg00095526	0.842083244669703	CACNA1S	1	201081686
cg00095674	0.0234896077206459	PLEKHO1	1	150122654
cg00096922	0.0204591389787981	DLX5	7	96654185
cg00097536	0.0169714406769033	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.017595905423567	PNPLA6	19	7599173
cg00099550	0.00555163617761696	NA	NA	0
cg00101227	0.764158411847585	MPZ	1	161280266
cg00103783	0.0213090540387958	MPDU1	17	7487249
cg00105253	0.0387626315979073	NUDT14	14	105647194
cg00105470	0.0512703252086807	C1orf35	1	228290868
cg00107187	0.0381232336101089	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.0101235565408489	PGM2	4	37828500
cg00108454	0.27934460574009	C1QA	1	22963614
cg00109274	0.00984667825777677	DGKH	13	42623032
cg00112517	0.0235651613417565	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.0565632436878822	CABP1	12	121078090
cg00115714	0.05558087634054	AMD1	6	111196112
cg00116234	0.0543854037867338	ADAMTSL1	9	18474243
cg00116838	0.0359584957073394	RTN2;FLJ40125	19	46001746
cg00117172	0.0308025132657753	RUNX3	1	25255838
cg00119079	0.0152975464317947	LAMP3	3	182880278
cg00121158	0.0127170524753485	KDM4C	9	6757826
cg00121640	0.020293927649587	ASTN2	9	120176515
cg00121904	0.101285724453483	MAOB	X	43741826
cg00123035	0.0311292099319047	RFX5	1	151319538
cg00126034	0.025552144121009	WNT3	17	44896162
cg00126657	0.426909461810737	SSX6	X	47967250
cg00126698	0.711497300905086	BTK	X	100640503
cg00128197	0.132706160620087	HSD17B10	X	53461455
cg00128560	0.929231745639811	TIGD7	16	3352013
cg00128654	0.0142068510394887	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0695331191615698	MKNK1	1	47070178
cg00129774	0.038997040839109	CDK2;SILV	12	56360414
cg00131121	0.0167736713505763	POLR2J	7	102119710
cg00131557	0.934485079187586	DNAJC15	13	43596656
cg00132141	0.247683397515053	CTNNA3	10	69456307
cg00133909	0.0158618305631044	CD276	15	73977201
cg00134539	0.920140156388979	UBASH3A	21	43824071
cg00134787	0.434034489311923	MYH1	17	10419499
cg00135056	0.0922334079841276	C3orf37	3	128997295
cg00135393	0.435091557949324	NA	NA	0
cg00136105	0.0125013008121164	GNPTAB	12	102224911
cg00136405	0.486881503271404	IL21	4	123542198
cg00136477	0.77350588744593	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.693839167272739	PMEPA1	20	56286697
cg00141162	0.707257613232681	HCLS1	3	121379777
cg00141550	0.871685483202316	NA	NA	0
cg00141845	0.222272731955716	UPRT	X	74493352
cg00143376	0.294799434878736	NMUR1	2	232394702
cg00143998	0.0284432769605286	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.174565862889995	GNPDA1	5	141393931
cg00145348	0.36121554109249	APEX2	X	55026862
cg00146096	0.0183954772238148	FANCF	11	22647309
cg00149659	0.0312088215107033	C3orf10	3	10157352
cg00149976	0.0189203286458461	MGLL	3	127541529
cg00151234	0.341288517613287	PGK1	X	77359363
cg00151607	0.0116982609998747	TRAPPC2L;GALNS	16	88923507
cg00152644	0.660234135077588	SPRR2E	1	153068236
cg00155167	0.0137678697708422	VPS13B	8	100025831
cg00155485	0.0498554410382307	MED13L	12	116714600
cg00155609	0.00996843140828038	PRDX2	19	12912527
cg00156216	0.0210052247690428	APLP2	11	129939849
cg00156744	0.0203010873908908	STK10	5	171615663
cg00158308	0.0249353127266089	OXGR1	13	97646341
cg00160914	0.0507329076277173	DDX20;C1orf183	1	112299263
cg00162401	0.0112025010974472	GSTA4	6	52859823
cg00162643	0.0413707949034881	DDX58	9	32526492
cg00164041	0.0556680306348088	NA	NA	0
cg00164898	0.0138495185083478	MAPK11	22	50709127
cg00165981	0.0304250253487356	COL4A3BP;POLK	5	74808039
cg00167504	0.012735110340873	BLVRA	7	43798622
cg00168082	0.0431048549609857	ABL1	9	133589177
cg00168785	0.0121854535506633	WDSUB1	2	160142643
cg00168942	0.393752032147927	GJD4	10	35894430
cg00169548	0.483744573412654	NA	NA	0
cg00171126	0.0744123166602428	WRB	21	40752522
cg00171161	0.0604075096121307	NUDT9	4	88343636
cg00174500	0.832106676835858	CMTM5	14	23846479
cg00174901	0.124217436519534	PALM	19	709889
cg00176210	0.546524971228672	ANK1	8	41654967
cg00176879	0.990927569896632	VPS16;PTPRA	20	2843525
cg00177013	0.0155196629878646	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0243577529712246	PNPO	17	46018875
cg00177923	0.0213303593971912	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.326095108994527	UPF3B	X	118986947
cg00180012	0.0391773337914493	LACE1	6	108615929
cg00180631	0.476636554148776	MTM1	X	149736640
cg00182461	0.0525428002353139	NA	NA	0
cg00183782	0.847196266479184	NA	NA	0
cg00183916	0.0168840122236406	HS3ST3B1	17	14204936
cg00184884	0.019260221296793	SFI1	22	31892343
cg00184893	0.0132013654026881	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0204202608923194	LRDD	11	804954
cg00186141	0.0108931149313931	PODXL	7	131241768
cg00186701	0.6903668545893	TSPYL5	8	98290510
cg00186954	0.549099119326954	ST5;C11orf17	11	8933980
cg00187380	0.0271935279846076	HOXC4;HOXC5	12	54427384
cg00187686	0.592998332724135	TCN1	11	59634218
cg00188348	0.640400970294304	NA	NA	0
cg00191052	0.772251651963787	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.0144834240242952	FAM53C	5	137673669
cg00197641	0.0206627235512404	MRPL52	14	23299461
cg00199549	0.946176263300545	MCM5	22	35795374
cg00200063	0.0210272543777797	USP32	17	58469941
cg00201234	0.605301722045458	FBLN2	3	13590968
cg00202702	0.0102091203142168	C11orf70	11	101918157
cg00202711	0.750890843415659	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0255651430109346	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0431420887760864	KIAA0174	16	71929512
cg00208830	0.559479632303743	LAMC2	1	183154778
cg00208967	0.0604335072572274	OLFM2	19	10047924
cg00209066	0.930561997039714	BRD1	22	50218923
cg00209951	0.0308876457638846	DENND2C	1	115212834
cg00210842	0.0425786783748612	APAF1;IKBIP	12	99039578
cg00211661	0.0134669407018068	ARAP1	11	72433619
cg00212549	0.0467831986035368	NA	NA	0
cg00213044	0.895643883445185	KRT6A	12	52886438
cg00213331	0.939277222935296	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.00998998037975891	NA	NA	0
cg00214794	0.511937138903796	NA	NA	0
cg00214855	0.047269361548057	CCDC90A	6	13813947
cg00215066	0.979658499105038	MYO9B	19	17212316
cg00216361	0.0489406068005655	GAP43	3	115342527
cg00216758	0.0223086409377029	RASSF7;C11orf35	11	560589
cg00217795	0.544134433917296	DIO2	14	80677688
cg00221494	0.238680263382997	FARP1	13	98794593
cg00223186	0.0224111373002788	ACBD6	1	180472200
cg00223950	0.0137835051164404	UBR4	1	19536222
cg00224234	0.0080113696280875	GLOD4;RNMTL1	17	685693
cg00224508	0.0128719030076818	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.339062646829407	FGD2	6	36972027
cg00228799	0.0154177192051261	ENDOG	9	131580591
cg00229387	0.115315153130404	TJAP1	6	43445942
cg00230271	0.0557696672182286	TBCK;AIMP1	4	107237183
cg00230368	0.0218242529951762	IGF2R	6	160389833
cg00230502	0.0436558352347915	CCDC60	12	119772381
cg00230685	0.279446608316636	SCML1	X	17755839
cg00231140	0.27292648286888	ACAA2;SCARNA17	18	47339702
cg00231644	0.242517152717258	TUBB2A	6	3158512
cg00231920	0.0120445866083004	VPS16;FAM113A	20	2821308
cg00233307	0.0262933906951511	MAP4K1;EIF3K	19	39109076
cg00234616	0.0340903034808202	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.14219645989721	RARA	17	38465489
cg00237010	0.258731693633855	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.992217816718106	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.0248243765431387	TTC21A;GORASP1	3	39148342
cg00240312	0.0176385562811377	NA	NA	0
cg00240432	0.0225203567892504	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.0112698940427464	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.0110144566549011	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.0118448875229777	CR2	1	207628182
cg00250430	0.0943061138985099	DMRT2	9	1051579
cg00253200	0.00985011919931449	C3orf59	3	192636074
cg00256074	0.911681781687539	MYLPF	16	30386150
cg00256166	0.0129704688566462	KLHL25	15	86338428
cg00256281	0.0266678339179593	PMM1	22	41985642
cg00259755	0.0773433025486658	PWWP2B	10	134209763
cg00260778	0.535559839349922	NA	NA	0
cg00261552	0.0379091675736404	CREBL2	12	12764894
cg00261781	0.00856218906976307	MATN3	2	20212517
cg00262415	0.0269277196625976	PUSL1;ACAP3	1	1242732
cg00263723	0.0294477916919503	NA	NA	0
cg00263760	0.0215477124925317	VAX1	10	118897366
cg00265415	0.00968014790212109	B3GALNT2	1	235667507
cg00265490	0.0407181121441474	MTDH	8	98655845
cg00268009	0.0114327579626508	ADH5	4	100010211
cg00268338	0.00887697071879321	HECTD2;LOC100188947	10	93169495
cg00269115	0.0206923054437737	C1orf213;ZNF436	1	23695530
cg00269932	0.953545583180182	NA	NA	0
cg00273068	0.431214794943132	EMILIN3	20	39995747
cg00273124	0.820933188549406	NHP2	5	177581512
cg00274399	0.0239427019004831	FGF9	13	22245420
cg00275232	0.0379081536089248	ZNF296	19	45579541
cg00276797	0.045912973965516	SLK	10	105726614
cg00278366	0.169893163059185	RAD9B;VPS29	12	110940287
cg00279797	0.0868824545693399	AMMECR1	X	109561918
cg00280814	0.880221457973326	ZDHHC8P	22	23745389
cg00280894	0.237354388452986	NA	NA	0
cg00282347	0.0422624803275346	CHD5	1	6241040
cg00282683	0.0117379223681532	UBE3C	7	156931995
cg00283535	0.79441695241991	ANXA13	8	124749564
cg00288562	0.0132600895494673	TRA2A	7	23571645
cg00290028	0.0122939690203607	RFXAP	13	37393125
cg00290506	0.0131452284789095	CNIH3	1	224804226
cg00291877	0.0317844534625675	SNRPA1	15	101835933
cg00292662	0.0207572698132982	LGALS1	22	38071168
cg00292971	0.853020671803471	FAM131B	7	143060536
cg00293409	0.0995779893347549	LRRC33	3	196366669
cg00294382	0.12488205485407	IL23A	12	56732721
cg00295206	0.0113432752414065	RAB7A	3	128444813
cg00295325	0.869984299009798	ABCB11	2	169887932
cg00296685	0.0268971192595474	NA	NA	0
cg00297584	0.0220391241029513	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.959780192486756	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0126981792618104	PPP3CA	4	102268125
cg00303548	0.0359983868241124	HS6ST3	13	96742413
cg00304278	0.172010914679864	NA	NA	0
cg00307685	0.951389344400801	BRDT	1	92415524
cg00308133	0.0120913953095852	GAMT	19	1401118
cg00308665	0.445859634756229	HTR2A	13	47469654
cg00309056	0.0162123884853613	STARD3NL	7	38218112
cg00309204	0.0438460230423439	C17orf61	17	7307432
cg00311768	0.260246839025998	TSTA3	8	144698857
cg00312919	0.00854637774376175	STARD3NL	7	38217710
cg00314943	0.931252531905305	ALPPL2	2	233270750
cg00315936	0.0304337834807834	SND1	7	127292739
cg00317680	0.110295811639862	MTERFD1;PTDSS1	8	97274070
cg00318573	0.0812450723415531	CHRNA4	20	61993118
cg00318865	0.0122156077950224	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.0116017003146356	PKMYT1	16	3030447
cg00320243	0.0147811733148334	RAB3A	19	18314691
cg00321065	0.0349285146422173	RLF	1	40627063
cg00321478	0.962274273452472	CRB1	1	197238398
cg00323915	0.685570770874523	GIMAP4	7	150264987
cg00324733	0.0163307044227241	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.0528124140666909	DLAT	11	111896498
cg00327483	0.986276440804927	CASQ1	1	160160587
cg00328227	0.0730690180803106	C1orf59	1	109204325
cg00331237	0.0216889521667489	CSRP2	12	77273319
cg00331433	0.0140854104653734	SYAP1	X	16737800
cg00332153	0.29375112531141	BANK1	4	102712010
cg00332745	0.0227869843394786	NOL3	16	67208247
cg00333226	0.015401602051837	VWC2	7	49813763
cg00333528	0.0917011809349928	GABRR1	6	89927485
cg00334507	0.713655629963459	PRRT2	16	29824599
cg00335286	0.267050770907836	MC2R	18	13916355
cg00336605	0.0460803444141487	NR1H2	19	50879437
cg00338702	0.013555352117717	CHFR	12	133463694
cg00338893	0.0208864759607921	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.671313083032617	GARNL3	9	130027020
cg00343092	0.0136625495205771	TSPO	22	43547974
cg00344358	0.961969178440264	GDF11	12	56135693
cg00344372	0.928229357398631	HGFAC	4	3443625
cg00344709	0.554178595434385	POTED	21	14982225
cg00346145	0.0334707484425135	RPL34;LOC285456	4	109541559
cg00347729	0.14666502231243	MMP10	11	102651753
cg00347904	0.0922851209904537	SCUBE3	6	35182508
cg00350296	0.0715478814366955	CD248	11	66084841
cg00350478	0.473433883972526	FRMD1	6	168480013
cg00350702	0.0161581051164588	ERGIC3	20	34129927
cg00351011	0.0160771532878567	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.765707528663576	ZIM2	19	57306738
cg00354572	0.0283536376437879	ACSS3	12	81471419
cg00355802	0.105955211400377	DUSP4	8	29208983
cg00359325	0.0379987052666158	USP4	3	49377419
cg00359973	0.0429472396701918	RIBC1;SMC1A	X	53449900
cg00363813	0.799288774723582	IFFO1	12	6664872
cg00364344	0.0212197566386822	NA	NA	0
cg00364814	0.782721011957435	R3HDM2	12	57691455
cg00365193	0.0669767953992351	NA	NA	0
cg00367281	0.95091162708514	CHRNB3	8	42552470
cg00367438	0.062281225418312	TMUB1	7	150780797
cg00368022	0.0141691658602557	C5orf22;RNASEN	5	31532653
cg00368415	0.00627178565324173	SNX27	1	151584398
cg00371195	0.960237467613568	F2	11	46740481
cg00374717	0.967075779786518	ARSG	17	66303145
cg00375964	0.0167327952180796	ABCE1;ANAPC10	4	146019130
cg00376639	0.0338878181861592	ZNF581	19	56155151
cg00380464	0.0277744012326572	LTV1	6	144164650
cg00381076	0.00904516481961158	C18orf54	18	51884797
cg00382515	0.016453618287507	MRPL44	2	224822229
cg00382991	0.0238206763764929	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.0263172246340394	TGFBI	5	135364970
cg00387170	0.0655597325078246	FOXP4	6	41514002
cg00392257	0.164859270210326	ISG20L2	1	156696747
cg00393585	0.0909649904142255	C4orf39;TRIM61	4	165878091
cg00394658	0.230631826099427	PTPRJ	11	48001669
cg00396163	0.0301111101012498	DNAH6	2	84743584
cg00396894	0.812137014189719	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0406312132894451	PPOX	1	161136321
cg00398048	0.0774510259060615	AGA	4	178364342
cg00399483	0.129929487240856	DCC	18	49868378
cg00400028	0.113561043162353	NA	NA	0
cg00400263	0.99413476519209	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.0180333768208058	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.188059228553437	TSC22D3	X	107018431
cg00405070	0.0228132158788744	ERP29;TMEM116	12	112450647
cg00405568	0.0257993076787261	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.754394150088721	RFPL3	22	32753939
cg00407150	0.356331463825866	HHATL	3	42743794
cg00410419	0.0142258021757484	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.142744788718861	STC1	8	23712355
cg00410921	0.180300818565715	NA	NA	0
cg00411097	0.380458802663683	TMEM184A	7	1596050
cg00412772	0.586294942778254	YIF1B;C19orf33	19	38794845
cg00412805	0.98574030194689	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.0164836795791946	NA	NA	0
cg00415494	0.917698715757065	NA	NA	0
cg00415978	0.0637827696201416	SYNPO2	4	119809925
cg00415993	0.0819076227716149	F2RL2;IQGAP2	5	75919188
cg00417297	0.0127793567203719	ZNF619	3	40518742
cg00418150	0.40519864716219	ALX4	11	44327869
cg00419564	0.0225421017825715	S100A6	1	153508860
cg00420568	0.0742711546056751	SHC3	9	91794904
cg00420715	0.00897086741335725	VPS13B	8	100025364
cg00420929	0.0632249285319813	PGPEP1	19	18451112
cg00422913	0.017471255922955	C17orf91;WDR81	17	1619022
cg00424946	0.0199588864585428	SNTB2	16	69221172
cg00425710	0.894846725098544	MT1A	16	56672671
cg00425792	0.0536461951310677	PEX12	17	33905503
cg00426056	0.0103422871124864	CUTA	6	33385896
cg00426498	0.0943957818602617	MYO18A	17	27507667
cg00426963	0.0162741188039643	KIF27	9	86535755
cg00427635	0.0866578152691387	TBC1D21	15	74166372
cg00429618	0.131068528171123	ZNF322B	9	99962350
cg00430287	0.714376630153487	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.464734135162434	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.678018779893515	MGP	12	15039025
cg00432979	0.0222627742185413	MRP63;SKA3	13	21750473
cg00433406	0.681649971535616	VWA5B1	1	20616975
cg00434413	0.990083690696482	RENBP;NAA10	X	153201653
cg00435408	0.0310036332925824	FAM192A;RSPRY1	16	57220662
cg00436282	0.893628089906921	STATH	4	70861449
cg00436301	0.0438547191013723	NT5DC1	6	116421736
cg00436603	0.856480659611358	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.00602853216412736	STOML1	15	74284481
cg00443307	0.777312135548179	KLRG1	12	9141740
cg00445824	0.0185068075687888	ISYNA1	19	18548929
cg00446235	0.019002529186248	TSTD1	1	161008644
cg00447208	0.734831070266349	TMC8;TMC6	17	76126301
cg00448720	0.556536886668905	C1QTNF9	13	24883014
cg00449941	0.0470384125575902	SPAG5	17	26926011
cg00451635	0.084313131834136	EMP2	16	10675030
cg00453193	0.00730270645042225	TES	7	115851050
cg00453258	0.83793427443696	CALHM1	10	105219172
cg00459975	0.00909009902119643	INTS9;HMBOX1	8	28749099
cg00461841	0.477285271296282	ATF7IP2	16	10523485
cg00462311	0.182864871537251	NFATC4	14	24837184
cg00462994	0.0687257260441231	NAGS;PYY	17	42081955
cg00463202	0.862026564402328	ADPRHL1	13	114107710
cg00463577	0.0872327867830439	C6orf150	6	74161911
cg00463848	0.87138816770391	KRT2	12	53046105
cg00464269	0.0163346949123429	TNFAIP1;IFT20	17	26662842
cg00465284	0.0213129826412661	CTNNA2;LRRTM1	2	80531898
cg00465846	0.017906606947983	NA	NA	0
cg00466249	0.154301409025576	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0119147476004214	C14orf101	14	57046243
cg00468146	0.00969710495896189	ID4	6	19838211
cg00469635	0.00792384961492199	PPME1;C2CD3	11	73882471
cg00471562	0.00918977622956791	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.00861528478551978	ADAMTS1	21	28217676
cg00474004	0.511223909011498	IFNA14	9	21239944
cg00474209	0.0969282651310975	DLL1	6	170600060
cg00475955	0.0134532343294506	C9orf114	9	131592049
cg00476577	0.0351820471132572	NA	NA	0
cg00476580	0.0105227420615761	ANP32E	1	150207583
cg00479269	0.0248413604835179	C2orf29	2	101869975
cg00480115	0.410701103574964	FXYD3	19	35606877
cg00480209	0.0149061985226568	SCO1;C17orf48	17	10600689
cg00480356	0.134161069649963	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0258680103707872	DDX41	5	176943504
cg00485296	0.00766506349793189	NME3	16	1821559
cg00485380	0.0110301359283904	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0197618755672768	SOCS1	16	11349568
cg00488300	0.960602016472057	NA	NA	0
cg00488364	0.539759176341822	IL13RA2	X	114253315
cg00488718	0.0159409392591471	MFSD8;C4orf29	4	128887044
cg00489401	0.607690275534848	FLT4	5	180075875
cg00491404	0.91339770049578	EPS8L3	1	110306591
cg00491839	0.0237587798874417	PPP1R15A	19	49375640
cg00493400	0.0234482784470505	STAT1	2	191879127
cg00495415	0.0335946010434543	SP1	12	53773795
cg00495442	0.0586680038842768	RALGAPB	20	37101172
cg00495491	0.79137127004796	NA	NA	0
cg00496170	0.0114449431012641	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.883976729851832	PPEF1	X	18709116
cg00497251	0.0812386610686242	RNPEPL1	2	241508725
cg00498305	0.239181203984798	SLC18A2	10	119000236
cg00498604	0.0728566861988256	TLL1	4	166793789
cg00499599	0.0134458474263296	C21orf57;MCM3AP	21	47706392
cg00499822	0.739435573218624	CXCL12	10	44881551
cg00500400	0.017347183666737	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0225270361473889	ZDHHC14	6	157801893
cg00503458	0.0660348913097892	KIAA0907	1	155904439
cg00503840	0.693588865147838	DLX5	7	96650509
cg00504595	0.0760835354998151	TNFRSF19	13	24144985
cg00509616	0.0405577015219834	GCOM1	15	57884415
cg00509670	NA	PAX9	14	37130313
